,major,early_career_pay,mid_career_pay
617,Archaeology,"$45,900","$72,100"
618,Art Administration,"$40,200","$72,100"
619,Hotel & Restaurant Tourism,"$44,300","$72,100"
620,Illustration,"$45,200","$72,100"
621,Arts & Science,"$45,700","$71,900"
622,Health,"$44,200","$71,900"
623,Turfgrass Management,"$53,100","$71,900"
624,Animal Science & Management,"$44,200","$71,800"
625,SocialStudies,"$45,800","$71,700"
626,Human Resources Development,"$48,600","$71,600"
627,Speech Pathology & Audiology,"$44,100","$71,600"
628,Clinical Laboratory Science,"$55,100","$71,500"
629,Forensic Science,"$46,000","$71,500"
630,Health Administration,"$42,700","$71,500"
631,Geomatics,"$52,300","$71,400"
632,Media Communication,"$47,000","$71,400"
633,Health Management,"$45,100","$71,300"
634,Commercial Photography,"$43,800","$71,300"
635,Fashion Design & Marketing,"$45,300","$71,100"
636,Mass Media,"$40,300","$71,100"
637,Medical Technology,"$56,500","$71,000"
638,Respiratory Therapy,"$54,500","$70,900"
639,Theater,"$44,600","$70,700"
640,Forensic Psychology,"$43,000","$70,600"
641,Kinesiology,"$44,800","$70,600"
642,Performing Arts,"$45,700","$70,500"
643,Psychology & Social Behavior,"$45,800","$70,500"
644,Religion,"$44,400","$70,500"
645,Radio & Television,"$43,100","$70,500"
646,Technology Teacher Education,"$47,700","$70,400"
647,Educational Studies (ED),"$40,300","$70,200"
648,Music,"$44,300","$70,200"
649,Business Leadership,"$50,100","$70,200"
650,Drafting & Design,"$51,000","$70,100"
651,Plant Sciences,"$48,000","$70,100"
652,Criminal Justice,"$42,800","$69,800"
653,Web Design,"$49,900","$69,800"
654,Graphic Design,"$45,100","$69,700"
655,Nutrition,"$48,100","$69,600"
656,Nutrition & Dietetics,"$50,800","$69,600"
657,Missions,"$41,300","$69,500"
658,Dramatic Art,"$41,400","$69,400"
659,Fashion Marketing & Management,"$47,700","$69,100"
660,Interdisciplinary Studies (IS),"$44,600","$68,900"
661,Hospitality & Tourism,"$44,200","$68,800"
662,Human Ecology,"$42,100","$68,800"
663,Ornamental Horticulture,"$46,000","$68,800"
664,Physical Therapist Assistant Studies,"$49,900","$68,800"
665,Public Health (PH),"$46,000","$68,800"
666,Art Therapy,"$41,100","$68,600"
667,Dietetics,"$51,300","$68,600"
668,Landscape Management,"$52,300","$68,600"
669,Applied Sociology,"$42,200","$68,500"
670,Fine Arts,"$43,200","$68,500"
671,Modern Language Spanish,"$43,800","$68,500"
672,Women's Studies,"$45,200","$68,500"
673,Social & Criminal Justice,"$44,800","$68,500"
674,Animal Science,"$41,200","$68,300"
675,New Media,"$46,000","$68,300"
676,Textiles & Clothing,"$45,100","$68,300"
677,Event Management,"$41,700","$68,200"
678,Family & Consumer Science,"$42,600","$68,000"
679,Speech-Language Pathology,"$44,100","$67,900"
680,Technical Theatre,"$41,000","$67,600"
681,Education,"$44,100","$67,500"
682,Foods & Nutrition,"$47,000","$67,500"
683,Recreation Management,"$42,300","$67,500"
684,Business & Healthcare Management,"$46,900","$67,300"
685,Agricultural Teacher Education,"$53,500","$67,100"
686,Music Composition,"$44,000","$66,900"
687,Art,"$43,400","$66,700"
688,Psychology & Sociology,"$42,800","$66,700"
689,Drawing & Painting,"$42,800","$66,600"
690,Nonprofit Management,"$42,300","$66,300"
691,Small Business Management,"$47,100","$66,200"
692,Behavioral Science,"$43,000","$66,000"
693,Horticulture & Agronomy,"$52,500","$65,900"
694,Health Services Administration,"$42,700","$65,800"
695,Multidisciplinary Studies,"$41,800","$65,800"
696,Restaurant & Food Service Management,"$43,900","$65,800"
697,Consumer Affairs,"$51,000","$65,700"
698,Training and Development,"$52,600","$65,600"
699,Health & Exercise Science,"$41,700","$65,600"
700,Electronic Media,"$45,300","$65,600"
701,Environmental Resource Management,"$48,700","$65,500"
702,Theatre Arts,"$43,500","$65,300"
703,Applied Linguistics,"$46,800","$65,200"
704,African American & African Studies,"$46,400","$65,100"
705,Exercise & Sports Science,"$42,600","$65,100"
706,General Studies,"$43,600","$65,100"
707,Justice Studies,"$45,300","$65,100"
708,Video Production,"$42,800","$65,100"
709,Graphic Arts,"$42,700","$64,900"
710,Physical Education Teaching,"$42,200","$64,900"
711,Health Services Management,"$41,600","$64,800"
712,Physical Education & Exercise Science,"$44,100","$64,800"
713,Drawing,"$37,400","$64,800"
714,Exercise Science,"$41,400","$64,700"
715,Printmaking,"$38,400","$64,300"
716,Sports Administration,"$43,300","$64,300"
717,Theology,"$42,800","$64,300"
718,Interior Design & Merchandising,"$43,700","$64,200"
719,Recreation & Leisure Studies,"$40,300","$64,200"
720,Human Development,"$43,700","$64,100"
721,Music Industry,"$45,800","$64,100"
722,Wildlife Management,"$39,700","$64,100"
723,Supervision & Management,"$41,700","$64,100"
724,Health & Wellness,"$40,100","$64,000"
725,Culinary Arts & Food Service Management,"$41,300","$64,000"
726,Mortuary Science,"$43,500","$64,000"
727,Clinical Psychology,"$43,000","$63,900"
728,Community Health Education,"$42,600","$63,900"
729,Dance,"$45,100","$63,900"
730,Speech Pathology,"$42,800","$63,700"
731,Gender Studies,"$45,500","$63,600"
732,Secondary English Teacher Education,"$42,000","$63,600"
733,Photography,"$43,800","$63,500"
734,English Teacher Education,"$43,300","$63,100"
735,Paralegal Studies,"$39,600","$63,100"
736,Social Studies Teacher Education,"$43,400","$63,100"
737,Teaching English as a Second Language (ESL),"$42,800","$63,000"
738,Music Teacher Education,"$42,000","$63,000"
739,Health Promotion,"$42,300","$62,800"
740,Recording Arts,"$44,800","$62,800"
741,Photojournalism,"$41,900","$62,600"
742,Recreation Administration,"$47,000","$62,500"
743,Radio Broadcasting,"$46,300","$62,400"
744,Sculpture,"$40,300","$62,200"
745,Painting,"$40,700","$62,000"
746,Psychology & Social Sciences,"$42,600","$62,000"
747,Health & Physical Education Teaching,"$38,700","$61,900"
748,Organizational Administration,"$45,000","$61,800"
749,Tourism Management,"$43,100","$61,600"
750,Instrumental Music Teacher Education,"$41,700","$61,600"
751,Emergency Medical Services (EMS),"$44,200","$61,400"
752,Community Health,"$45,400","$61,300"
753,Health & Human Performance,"$38,100","$61,100"
754,Music Therapy,"$43,100","$60,700"
755,Social Services,"$39,900","$60,500"
756,Rehabilitation Services,"$35,800","$60,200"
757,Horticulture,"$43,000","$60,100"
758,University Studies,"$42,400","$60,000"
759,Church Ministries,"$40,000","$59,900"
760,Communicative Disorders,"$47,400","$59,800"
761,Social Science Teacher Education,"$45,400","$59,800"
762,Wildlife Biology,"$42,900","$59,800"
763,Community Development,"$44,600","$59,400"
764,Psychology & Human Services,"$35,600","$59,400"
765,Athletic Training,"$42,100","$59,300"
766,Biblical Studies,"$40,500","$59,000"
767,Biblical Studies & Practical Ministries,"$36,400","$58,900"
768,Counseling Psychology,"$42,700","$58,900"
769,Recreational Studies,"$42,100","$58,900"
770,Teaching,"$42,000","$58,900"
771,Home Economics,"$41,800","$58,700"
772,Library & Information Science,"$48,200","$58,700"
773,Human Development & Family Studies,"$40,300","$58,600"
774,Tourism & Travel,"$42,200","$58,600"
775,Landscape Design,"$49,000","$58,500"
776,Ceramics,"$42,200","$58,300"
777,Clinical Social Work (CSW),"$43,500","$58,300"
778,Parks & Recreation Management,"$42,700","$58,300"
779,Pastoral Ministry,"$38,700","$58,000"
780,Vocal Performance,"$42,600","$58,000"
781,Art Teacher Education,"$40,300","$57,500"
782,Bible Studies & Theology,"$40,000","$57,500"
783,Forensic Accounting,"$48,300","$57,200"
784,Communication Sciences & Disorders,"$43,300","$57,100"
785,Legal Assistant Studies,"$38,100","$57,100"
786,Special Education,"$41,300","$57,000"
787,Conservation Biology,"$42,800","$56,900"
788,Family Studies,"$39,200","$56,800"
789,Christian Ministry,"$38,100","$56,400"
790,Speech & Hearing,"$43,300","$56,400"
791,Health and Human Services,"$43,500","$56,300"
792,Musical Theatre,"$43,500","$56,100"
793,History Teacher Education,"$47,700","$55,600"
794,Developmental Psychology,"$38,200","$55,000"
795,Therapeutic Recreation,"$39,500","$54,900"
796,Applied Behavioral Science,"$40,500","$54,600"
797,Community & Human Services,"$42,400","$54,600"
798,Social Work (SW),"$38,600","$54,600"
799,Office Administration,"$38,700","$54,500"
800,Ministry,"$36,700","$54,300"
801,Family & Community Services,"$42,200","$54,300"
802,Youth Ministry,"$37,400","$54,200"
803,Elementary Education,"$40,000","$53,800"
804,Voice & Opera,"$34,500","$53,300"
805,Christian Education,"$38,700","$53,200"
806,Conflict Resolution,"$44,400","$53,200"
807,Baking & Pastry Arts,"$37,500","$53,000"
808,Human Services Management,"$45,600","$53,000"
809,Hospitality & The Culinary Arts,"$38,800","$52,900"
810,Human Services (HS),"$38,700","$52,500"
811,Counseling,"$39,900","$51,700"
812,Recreational Therapy,"$38,400","$51,600"
813,Child Development,"$37,400","$51,400"
814,Educational Psychology,"$36,900","$51,200"
815,Middle School Education,"$41,200","$50,800"
816,Mental Health Counseling,"$36,100","$50,000"
817,Early Childhood & Elementary Education,"$38,000","$48,400"
818,Equine Studies,"$35,700","$47,100"
819,Addiction Studies,"$38,000","$47,000"
820,Child & Family Studies,"$36,400","$46,500"
821,Rehabilitation Counseling,"$39,200","$46,400"
822,Outdoor Education,"$37,400","$46,300"
823,Early Childhood Education,"$36,100","$45,400"
824,Mental Health,"$36,900","$45,000"
825,Medical Assisting,"$36,000","$44,800"
826,Metalsmithing,"$40,000","$40,300"
827,Medical Assisting,"$36,000","$44,800"
828,Metalsmithing,"$40,000","$40,300"
829,Medical Assisting,"$36,000","$44,800"
830,Metalsmithing,"$40,000","$40,300"
831,Medical Assisting,"$36,000","$44,800"
832,Metalsmithing,"$40,000","$40,300"
833,Medical Assisting,"$36,000","$44,800"
834,Metalsmithing,"$40,000","$40,300"
835,Medical Assisting,"$36,000","$44,800"
836,Metalsmithing,"$40,000","$40,300"
837,Medical Assisting,"$36,000","$44,800"
838,Metalsmithing,"$40,000","$40,300"
839,Medical Assisting,"$36,000","$44,800"
840,Metalsmithing,"$40,000","$40,300"
841,Medical Assisting,"$36,000","$44,800"
842,Metalsmithing,"$40,000","$40,300"
843,Medical Assisting,"$36,000","$44,800"
844,Metalsmithing,"$40,000","$40,300"
845,Medical Assisting,"$36,000","$44,800"
846,Metalsmithing,"$40,000","$40,300"
847,Medical Assisting,"$36,000","$44,800"
848,Metalsmithing,"$40,000","$40,300"
849,Medical Assisting,"$36,000","$44,800"
850,Metalsmithing,"$40,000","$40,300"
851,Medical Assisting,"$36,000","$44,800"
852,Metalsmithing,"$40,000","$40,300"
853,Medical Assisting,"$36,000","$44,800"
854,Metalsmithing,"$40,000","$40,300"
855,Medical Assisting,"$36,000","$44,800"
856,Metalsmithing,"$40,000","$40,300"
857,Medical Assisting,"$36,000","$44,800"
858,Metalsmithing,"$40,000","$40,300"
859,Medical Assisting,"$36,000","$44,800"
860,Metalsmithing,"$40,000","$40,300"
861,Medical Assisting,"$36,000","$44,800"
862,Metalsmithing,"$40,000","$40,300"
863,Medical Assisting,"$36,000","$44,800"
864,Metalsmithing,"$40,000","$40,300"
865,Medical Assisting,"$36,000","$44,800"
866,Metalsmithing,"$40,000","$40,300"
867,Medical Assisting,"$36,000","$44,800"
868,Metalsmithing,"$40,000","$40,300"
869,Medical Assisting,"$36,000","$44,800"
870,Metalsmithing,"$40,000","$40,300"
871,Medical Assisting,"$36,000","$44,800"
872,Metalsmithing,"$40,000","$40,300"
873,Medical Assisting,"$36,000","$44,800"
874,Metalsmithing,"$40,000","$40,300"
