,major,early_career_pay,mid_career_pay
135,Political Communication,"$48,800","$108,500"
136,Marketing & International Business,"$52,500","$108,400"
137,Software Development,"$65,500","$108,400"
138,Biochemistry & Molecular Biology,"$53,900","$108,100"
139,Computing,"$63,500","$108,000"
140,Construction Management,"$63,200","$108,000"
141,Accounting & Taxation,"$55,600","$107,800"
142,Building Construction (BC),"$67,200","$107,800"
143,International & Comparative Politics,"$45,700","$107,800"
144,Civil & Environmental Engineering,"$65,300","$107,500"
145,Business Information Systems,"$65,000","$107,400"
146,Financial Economics,"$63,300","$107,200"
147,Sales & Business Marketing,"$55,900","$107,200"
148,Plastics Engineering,"$68,400","$107,100"
149,Information Technology Management,"$63,400","$107,000"
150,Polymer Science & Engineering,"$74,500","$106,900"
151,Informatics,"$70,300","$106,800"
152,Computer Management Information Systems (CMIS),"$55,700","$106,600"
153,Information Systems (IS),"$63,900","$106,600"
154,Agricultural Economics,"$55,600","$106,300"
155,Data Processing,"$65,600","$106,200"
156,European Studies,"$47,500","$106,100"
157,Biosystems Engineering,"$64,700","$106,000"
158,Nuclear Engineering Technology (NET),"$83,500","$106,000"
159,Economics & Political Science,"$57,100","$105,700"
160,Global & International Studies,"$50,000","$105,700"
161,Organic Chemistry,"$44,500","$105,600"
162,Industrial Hygiene,"$58,600","$105,500"
163,Safety Science,"$62,400","$105,500"
164,Commerce,"$66,800","$105,400"
165,Rhetoric,"$51,600","$105,400"
166,Business Computer Information Systems (BCIS),"$64,000","$105,300"
167,Finance,"$60,200","$105,200"
168,Plastics Engineering Technology,"$66,900","$105,100"
169,Molecular Biology,"$54,100","$105,000"
170,Environmental Engineering,"$62,600","$104,800"
171,International Management,"$54,100","$104,800"
172,Computer Information Systems,"$59,400","$104,700"
173,Corporate Finance,"$63,600","$104,300"
174,Genetics,"$52,200","$104,100"
175,International Business,"$55,300","$104,100"
176,Agricultural Engineering (AE),"$63,100","$104,000"
177,Consumer Economics,"$53,700","$103,800"
178,Finance & Marketing,"$56,800","$103,700"
179,Computer Information Systems (CIS),"$60,500","$103,500"
180,Business Finance,"$57,200","$103,300"
181,Psychobiology,"$49,600","$103,100"
182,Strategic Management,"$66,200","$103,100"
183,Construction Trades,"$61,900","$103,100"
184,Operations Management (OM),"$61,500","$103,000"
185,Entrepreneurship & Leadership,"$57,100","$102,900"
186,Electrical Engineering Technology (EET),"$66,300","$102,800"
187,Computer Science & Information Technology,"$66,000","$102,700"
188,Food Marketing,"$56,300","$102,700"
189,International Marketing,"$59,000","$102,600"
190,Network Engineering,"$60,700","$102,600"
191,Building Construction Management,"$61,300","$102,400"
192,Engineering Technology (ET),"$58,400","$102,300"
193,International Relations,"$52,800","$102,200"
194,Management & Finance,"$56,800","$102,200"
195,Information Security,"$66,400","$102,200"
196,Business Operations,"$63,500","$102,100"
197,Industrial Management,"$57,800","$102,000"
198,Architectural Engineering,"$65,000","$101,900"
199,Hotel Administration,"$64,900","$101,900"
200,Manufacturing,"$57,600","$101,500"
201,Agricultural Economics & Business,"$54,900","$101,400"
202,Web Development,"$56,400","$101,300"
203,Aviation,"$54,000","$101,200"
204,Telecommunications Management,"$55,000","$101,200"
205,Property Management,"$55,200","$101,000"
206,Comparative Literature,"$48,100","$100,900"
207,Construction Science & Management,"$64,700","$100,800"
208,Biotechnology,"$53,100","$100,700"
209,Industrial & Labor Relations,"$69,800","$100,600"
210,Real Estate,"$59,900","$100,600"
211,Mechanical Engineering Technology (MET),"$64,200","$100,400"
212,Labor Relations,"$53,000","$100,300"
213,Electronics,"$57,500","$100,200"
214,Biochemistry (BCH),"$50,400","$99,900"
215,Politics,"$53,000","$99,900"
216,Accounting & Auditing,"$57,800","$99,800"
217,Chinese Language,"$54,200","$99,600"
218,Information Science (IS),"$66,300","$99,500"
219,East Asian Studies,"$49,800","$99,400"
220,Accounting & Finance,"$59,200","$99,300"
221,Network Security,"$62,300","$99,300"
222,Information Technology (IT),"$59,100","$99,200"
223,Aviation Management,"$50,900","$99,100"
224,Occupational Health and Safety,"$59,900","$99,100"
225,Agribusiness,"$50,700","$98,900"
226,Business & Marketing,"$51,000","$98,900"
227,Computer Engineering Technology (CET),"$63,000","$98,900"
228,Computer Security,"$68,100","$98,700"
229,Operations & Supply Chain Management,"$61,300","$98,600"
230,Entomology,"$45,900","$98,500"
231,Music Production & Engineering,"$43,100","$98,400"
232,Industrial Engineering Technology,"$67,200","$98,400"
233,Logistics & Supply Chain Management,"$59,000","$98,300"
234,Supply Chain Management,"$61,700","$98,300"
235,Accounts,"$59,800","$98,300"
236,Economics & Management,"$54,400","$98,200"
237,Environmental Policy Analysis & Planning,"$51,000","$98,200"
238,Physical Therapy,"$55,500","$98,200"
239,European History,"$52,300","$98,000"
240,Robotics & Automation,"$66,100","$98,000"
241,Geological Engineering,"$61,700","$97,900"
242,Manufacturing Technology,"$59,900","$97,900"
243,Chemistry,"$51,600","$97,500"
244,Business Logistics & Transportation,"$56,400","$97,400"
245,Food Science & Technology,"$53,100","$97,300"
246,City & Regional Planning,"$51,800","$97,200"
247,Civil Engineering Technology (CET),"$58,300","$97,200"
248,Electronics Engineering Technology (EET),"$64,300","$97,100"
249,English & Psychology,"$42,600","$97,100"
250,Finance & Banking,"$55,300","$97,100"
251,Mechanical Design,"$60,900","$97,100"
252,Applied Technology,"$55,500","$97,000"
253,Marketing & Management,"$50,000","$96,900"
254,Technical & Scientific Communication,"$50,700","$96,800"
255,Financial Planning,"$54,000","$96,600"
256,Organizational Behavior,"$57,000","$96,600"
257,Marketing,"$51,700","$96,600"
258,Dairy Science,"$51,200","$96,200"
259,Project Management,"$56,800","$96,200"
260,Government & International Politics (GVIP),"$51,300","$96,100"
261,Latin American Studies,"$46,700","$96,100"
262,Industrial Design (ID),"$55,100","$95,900"
263,Web Design & Development,"$53,100","$95,900"
264,Computing & Information Systems (CIS),"$58,100","$95,800"
265,Electromechanical Engineering,"$70,500","$95,800"
266,Industrial Technology (IT),"$62,200","$95,800"
267,Information Technology (IT) & Systems,"$61,100","$95,800"
268,Biopsychology,"$53,300","$95,700"
269,Government & Politics,"$52,400","$95,700"
270,Microbiology & Immunology,"$54,900","$95,400"
271,Chemistry & Environmental Science,"$48,200","$95,400"
272,Interactive Media Design,"$54,000","$95,300"
273,Risk Management,"$58,500","$95,300"
274,Cell Biology,"$50,100","$95,200"
275,Aeronautics,"$62,800","$95,100"
276,Welding Engineering Technology,"$74,700","$95,000"
277,Finance & Management Information Systems,"$63,900","$94,800"
278,Computer Science (CS) & Business,"$81,100","$94,600"
279,Environmental Science & Policy,"$49,500","$94,500"
280,Marketing & Communications,"$49,600","$94,500"
281,Safety Management,"$60,100","$94,500"
282,Business Technology Management,"$57,400","$94,400"
283,Computer Networking Systems,"$55,600","$94,400"
284,Biomedical Sciences,"$43,600","$94,300"
285,Philosophy,"$52,600","$94,300"
286,Sales & Marketing,"$52,700","$94,300"
287,Manufacturing Engineering Technology,"$66,000","$94,300"
288,Environmental Health & Safety,"$57,600","$94,200"
289,Organizational Psychology,"$51,200","$94,100"
290,Industrial Psychology,"$50,000","$94,000"
291,Political Science,"$50,700","$94,000"
292,Real Estate Development,"$57,100","$94,000"
293,Social Ecology,"$49,000","$93,700"
294,Risk Management & Insurance,"$59,500","$93,600"
295,Radiation Therapy,"$68,400","$93,400"
296,French Literature,"$46,400","$93,300"
297,Occupational Therapy (OT),"$54,100","$93,300"
298,Advertising,"$47,200","$93,200"
299,Accounting,"$54,800","$93,100"
300,Geology,"$50,400","$93,000"
301,Strategic Communication,"$47,100","$93,000"
302,Transportation & Logistics Management,"$57,600","$93,000"
303,Financial Accounting,"$56,100","$92,900"
304,Cell & Molecular Biology,"$51,900","$92,800"
305,Industrial Safety,"$55,200","$92,800"
306,Insurance,"$56,000","$92,800"
307,Manufacturing Management,"$64,000","$92,800"
308,Networks & Telecommunications,"$54,300","$92,800"
309,Labor Studies,"$46,600","$92,600"
310,Digital Media Design,"$46,700","$92,600"
311,Advertising & Marketing Communications,"$48,300","$92,600"
312,Cinema Studies,"$47,900","$92,500"
313,Electronic & Computer Technology,"$63,800","$92,500"
314,Marketing Communication,"$45,700","$92,500"
315,Construction Technology,"$59,100","$92,400"
316,Architecture,"$51,000","$92,300"
317,Applied Statistics,"$65,900","$92,200"
318,Biological Sciences,"$49,300","$92,100"
319,Food Science,"$52,500","$92,100"
320,Urban & Regional Planning,"$51,800","$92,100"
321,Marketing Management,"$51,300","$92,000"
322,Computer & Network Administration,"$56,800","$91,900"
323,Applied Computer Science,"$66,100","$91,800"
324,Sales,"$61,500","$91,600"
325,Environmental Design,"$47,700","$91,400"
326,Hotel Management,"$49,100","$91,400"
327,Advertising Design,"$52,700","$91,300"
328,Digital Arts,"$45,600","$91,300"
329,Financial Management,"$54,300","$91,300"
330,Electronic Systems Technology (EST),"$81,000","$91,200"
331,Italian Language,"$51,400","$91,100"
332,German Studies,"$50,000","$91,000"
333,Quality Management,"$57,400","$90,800"
334,Microbiology,"$48,400","$90,300"
335,Entrepreneurship,"$54,800","$90,300"
336,Interactive Media,"$52,700","$90,200"
337,Global Business Management,"$55,900","$90,200"
338,Network Systems Administration,"$57,900","$90,200"
339,Police Science,"$55,400","$90,200"
340,Hydrology,"$48,700","$90,100"
341,Business Data Analysis,"$64,700","$90,000"
342,Database Management,"$65,900","$90,000"
343,Spanish Literature,"$51,100","$90,000"
344,Business Technology,"$52,800","$89,900"
345,Business Management & Marketing,"$48,900","$89,800"
346,Technical Management,"$64,400","$89,700"
347,Human Biology,"$51,100","$89,600"
348,Meteorology,"$46,200","$89,500"
349,Computer Graphics Technology (CGT),"$49,000","$89,200"
350,Urban Planning,"$50,500","$89,200"
351,Aviation Technology,"$58,100","$89,100"
352,Environmental Health,"$50,000","$89,100"
353,Agricultural Science,"$48,900","$88,900"
354,Agronomy,"$50,200","$88,900"
355,International Studies,"$50,000","$88,900"
356,Design,"$52,800","$88,800"
357,Applied Science,"$46,400","$88,700"
358,Architectural Engineering Technology,"$52,200","$88,700"
359,German Language,"$50,700","$88,700"
360,Technology,"$56,200","$88,600"
361,Advertising & Promotion,"$46,100","$88,500"
362,Pre-law,"$46,800","$88,400"
363,Digital Media,"$47,300","$88,200"
364,Biological Anthropology,"$46,200","$88,100"
365,Personal Financial Planning,"$53,800","$88,100"
366,Professional Pilot Education,"$63,700","$88,000"
367,Textile Technology,"$54,000","$88,000"
